 ----------------------header-------------------------- 2018-11-27 08:51:07,178 [7] INFO  log4netlogger - GET http://localhost:54938/WebService.asmx
2018-11-27 08:51:07,694 [5] INFO  log4netlogger - GET http://localhost:54938/favicon.ico
2018-11-27 08:51:12,245 [8] INFO  log4netlogger - GET http://localhost:54938/
2018-11-27 08:51:15,037 [7] INFO  log4netlogger - GET http://localhost:54938/Scripts/modernizr-2.6.2.js
2018-11-27 08:51:15,087 [5] INFO  log4netlogger - GET http://localhost:54938/Scripts/jquery-1.10.2.js
2018-11-27 08:51:15,122 [11] INFO  log4netlogger - GET http://localhost:54938/Scripts/jquery-ui-1.11.4.js
2018-11-27 08:51:15,123 [6] INFO  log4netlogger - GET http://localhost:54938/Scripts/jquery.unobtrusive-ajax.js
2018-11-27 08:51:15,123 [8] INFO  log4netlogger - GET http://localhost:54938/Scripts/md5.js
2018-11-27 08:51:15,123 [9] INFO  log4netlogger - GET http://localhost:54938/Scripts/jquery.form.js
2018-11-27 08:51:15,129 [7] INFO  log4netlogger - GET http://localhost:54938/Content/themes/base/base.css
2018-11-27 08:51:15,131 [12] INFO  log4netlogger - GET http://localhost:54938/Scripts/bootstrap.js
2018-11-27 08:51:15,131 [7] INFO  log4netlogger - GET http://localhost:54938/Content/themes/base/theme.css
2018-11-27 08:51:15,131 [10] INFO  log4netlogger - GET http://localhost:54938/Scripts/respond.js
2018-11-27 08:51:15,251 [5] INFO  log4netlogger - GET http://localhost:54938/Content/themes/base/core.css
2018-11-27 08:51:15,251 [11] INFO  log4netlogger - GET http://localhost:54938/Content/themes/base/datepicker.css
2018-11-27 08:51:15,251 [6] INFO  log4netlogger - GET http://localhost:54938/Content/themes/base/accordion.css
2018-11-27 08:51:15,251 [8] INFO  log4netlogger - GET http://localhost:54938/Content/themes/base/dialog.css
2018-11-27 08:51:15,252 [7] INFO  log4netlogger - GET http://localhost:54938/Content/themes/base/button.css
2018-11-27 08:51:15,252 [9] INFO  log4netlogger - GET http://localhost:54938/Content/themes/base/autocomplete.css
2018-11-27 08:51:15,259 [12] INFO  log4netlogger - GET http://localhost:54938/Content/themes/base/draggable.css
2018-11-27 08:51:15,260 [10] INFO  log4netlogger - GET http://localhost:54938/Content/themes/base/menu.css
2018-11-27 08:51:15,273 [5] INFO  log4netlogger - GET http://localhost:54938/Content/themes/base/progressbar.css
2018-11-27 08:51:15,274 [11] INFO  log4netlogger - GET http://localhost:54938/Content/themes/base/resizable.css
2018-11-27 08:51:15,274 [6] INFO  log4netlogger - GET http://localhost:54938/Content/themes/base/selectable.css
2018-11-27 08:51:15,274 [8] INFO  log4netlogger - GET http://localhost:54938/Content/themes/base/selectmenu.css
2018-11-27 08:51:15,274 [9] INFO  log4netlogger - GET http://localhost:54938/Content/themes/base/sortable.css
2018-11-27 08:51:15,278 [7] INFO  log4netlogger - GET http://localhost:54938/Content/themes/base/slider.css
2018-11-27 08:51:15,278 [12] INFO  log4netlogger - GET http://localhost:54938/Content/themes/base/spinner.css
2018-11-27 08:51:15,284 [10] INFO  log4netlogger - GET http://localhost:54938/Content/themes/base/tabs.css
2018-11-27 08:51:15,284 [5] INFO  log4netlogger - GET http://localhost:54938/Content/themes/base/tooltip.css
2018-11-27 08:51:21,163 [8] INFO  log4netlogger - POST http://localhost:54938/
2018-11-27 08:51:25,818 [10] INFO  log4netlogger - GET http://localhost:54938/Process
2018-11-27 08:51:27,799 [12] INFO  log4netlogger - GET http://localhost:54938/Content/process.css
2018-11-27 08:51:27,871 [6] INFO  log4netlogger - GET http://localhost:54938/Images/bg.jpg
2018-11-27 08:51:36,354 [7] INFO  log4netlogger - GET http://localhost:54938/Process/CheckMessage
2018-11-27 08:51:46,041 [10] INFO  log4netlogger - GET http://localhost:54938/Process/Detail/49
2018-11-27 08:52:34,069 [9] INFO  log4netlogger - GET http://localhost:54938/Process
2018-11-27 08:52:35,187 [6] INFO  log4netlogger - GET http://localhost:54938/Sync
2018-11-27 08:52:37,354 [5] INFO  log4netlogger - GET http://localhost:54938/Task
 ----------------------footer--------------------------  ----------------------header-------------------------- 2018-11-27 09:00:20,620 [22] INFO  log4netlogger - GET http://localhost:54938/
2018-11-27 09:00:20,751 [10] INFO  log4netlogger - GET http://localhost:54938/Process
2018-11-27 09:12:43,431 [42] INFO  log4netlogger - GET http://localhost:54938/WebService.asmx
